epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,131.052,0.89585,1.18008,0.65273,1.19336,0.93583,0.81889,0.92062,0.70304,0.93935,0.81889,0.92732,0.68233,0.88745,1.20329,0.581,1.04353,0.00120491,0.00120491,0.00120491
30,135.223,0.86875,1.12513,0.63125,1.17742,0.8843,0.85556,0.91788,0.69821,0.89626,0.89676,0.93714,0.66331,0.85378,1.14133,0.58524,1.05636,0.0011884,0.0011884,0.0011884
31,139.472,0.82082,1.04847,0.59876,1.15646,0.93556,0.86556,0.92508,0.73066,0.91813,0.8911,0.93749,0.72422,0.7917,0.94257,0.5535,1.01084,0.0011719,0.0011719,0.0011719
32,143.74,0.85366,1.08606,0.6242,1.16227,0.9362,0.80298,0.90592,0.69475,0.94898,0.81361,0.91851,0.7135,0.9349,0.93832,0.60492,1.07566,0.0011554,0.0011554,0.0011554
33,147.93,0.88652,1.09164,0.61761,1.16793,0.90847,0.81615,0.90107,0.69069,0.92331,0.85873,0.93385,0.67156,0.94164,1.15436,0.61645,1.06998,0.00113889,0.00113889,0.00113889
34,152.035,0.88669,1.06995,0.63128,1.19009,0.89942,0.86222,0.90308,0.7048,0.90859,0.86667,0.9141,0.68161,0.8309,1.01326,0.56685,1.02251,0.00112239,0.00112239,0.00112239
35,156.206,0.8626,1.04913,0.625,1.17395,0.95232,0.80422,0.92287,0.69909,0.96032,0.80966,0.92097,0.71038,0.91088,0.9887,0.58779,1.07616,0.00110589,0.00110589,0.00110589
36,160.366,0.8321,1.02345,0.60681,1.15316,0.89016,0.82111,0.90881,0.72793,0.92693,0.85222,0.93373,0.69425,0.7877,1.03228,0.55425,1.00999,0.00108938,0.00108938,0.00108938
37,164.541,0.82223,0.98904,0.58666,1.14303,0.89259,0.87444,0.93179,0.69525,0.90923,0.89,0.93418,0.70764,0.79369,0.94738,0.58569,1.03017,0.00107288,0.00107288,0.00107288
38,168.71,0.83185,0.95527,0.59719,1.17013,0.91792,0.78556,0.87617,0.68879,0.8567,0.88419,0.91534,0.69452,0.8785,0.99932,0.59764,1.07771,0.00105638,0.00105638,0.00105638
39,172.863,0.80649,0.91164,0.57338,1.12403,0.91377,0.85529,0.93541,0.72353,0.94051,0.87549,0.94152,0.71767,0.83047,1.00519,0.55536,1.04293,0.00103987,0.00103987,0.00103987
40,177.081,0.84548,0.99077,0.59586,1.13477,0.90285,0.91222,0.9213,0.71837,0.92436,0.92222,0.93928,0.73968,0.94794,1.00736,0.57284,1.10144,0.00102337,0.00102337,0.00102337
41,181.383,0.83001,0.97059,0.58476,1.14444,0.93287,0.87071,0.9265,0.73233,0.93833,0.87626,0.92676,0.71432,0.82251,0.99446,0.55531,1.03297,0.00100687,0.00100687,0.00100687
42,185.555,0.78747,0.87723,0.57153,1.11907,0.92561,0.81778,0.90266,0.70659,0.94124,0.83479,0.91912,0.7254,0.84015,1.05203,0.59129,1.04494,0.000990365,0.000990365,0.000990365
43,189.768,0.77766,0.94326,0.56065,1.12234,0.88566,0.88845,0.92145,0.74001,0.90268,0.90198,0.92617,0.74473,0.78225,0.87403,0.53758,1.02884,0.000973861,0.000973861,0.000973861
44,194.029,0.77864,0.89615,0.58261,1.12177,0.91876,0.89272,0.92593,0.74272,0.94512,0.90604,0.93224,0.73844,0.80793,0.93707,0.53026,1.04193,0.000957358,0.000957358,0.000957358
45,198.176,0.73459,0.87201,0.55492,1.09087,0.94383,0.84265,0.93776,0.76386,0.92603,0.88222,0.93395,0.72579,0.72573,0.89133,0.54194,0.97142,0.000940855,0.000940855,0.000940855
46,202.457,0.74232,0.87747,0.53495,1.11028,0.9194,0.87739,0.92551,0.75197,0.93629,0.88778,0.9358,0.74904,0.7786,0.86825,0.55092,1.01637,0.000924352,0.000924352,0.000924352
47,206.744,0.72256,0.84105,0.5238,1.08672,0.89984,0.86667,0.91135,0.72517,0.91719,0.88098,0.92175,0.68098,0.77531,1.06377,0.57234,1.026,0.000907848,0.000907848,0.000907848
48,210.943,0.72388,0.81262,0.51257,1.07669,0.91159,0.89111,0.93008,0.74,0.94306,0.90439,0.93352,0.74034,0.83282,0.89159,0.54628,1.04713,0.000891345,0.000891345,0.000891345
49,215.111,0.73966,0.85158,0.52755,1.08297,0.90093,0.85667,0.91805,0.73658,0.93925,0.88631,0.93592,0.74405,0.74144,0.93146,0.54765,1.00895,0.000874842,0.000874842,0.000874842
50,219.33,0.68791,0.82166,0.50718,1.07737,0.91145,0.88937,0.92881,0.74365,0.9105,0.91143,0.93395,0.7312,0.75131,0.90378,0.51963,0.99605,0.000858338,0.000858338,0.000858338
51,223.535,0.70301,0.838,0.50568,1.07317,0.92115,0.8821,0.93273,0.76155,0.93884,0.90222,0.94316,0.74974,0.72626,0.85106,0.5232,1.01779,0.000841835,0.000841835,0.000841835
52,227.8,0.68159,0.78765,0.49686,1.05311,0.92509,0.86667,0.93575,0.77076,0.90923,0.90825,0.94952,0.76476,0.75647,0.83344,0.4968,0.98537,0.000825332,0.000825332,0.000825332
53,232.068,0.66186,0.79737,0.49276,1.0384,0.92031,0.87065,0.91428,0.75928,0.94608,0.89778,0.93375,0.74687,0.70581,0.89819,0.50336,0.98451,0.000808828,0.000808828,0.000808828
54,236.264,0.66833,0.80129,0.4961,1.05936,0.86979,0.89375,0.9159,0.76555,0.96311,0.86556,0.93881,0.75674,0.69739,0.83035,0.50524,0.97373,0.000792325,0.000792325,0.000792325
55,240.417,0.64712,0.78868,0.48671,1.04912,0.88762,0.84531,0.90101,0.73174,0.91595,0.87087,0.93312,0.71732,0.72479,1.13273,0.5481,1.01386,0.000775822,0.000775822,0.000775822
56,244.66,0.64653,0.78789,0.48889,1.04762,0.93949,0.85451,0.92529,0.74833,0.95725,0.86983,0.9422,0.73621,0.79162,0.95868,0.5184,1.06307,0.000759318,0.000759318,0.000759318
57,248.799,0.64474,0.77031,0.47107,1.04701,0.956,0.80889,0.89476,0.732,0.9683,0.82,0.91967,0.73488,0.75451,0.91692,0.57118,1.01334,0.000742815,0.000742815,0.000742815
58,252.995,0.64005,0.78031,0.48287,1.04631,0.92315,0.90384,0.9382,0.77105,0.94497,0.90425,0.95295,0.73122,0.71647,0.9953,0.49126,0.98841,0.000726312,0.000726312,0.000726312
59,257.231,0.63532,0.78196,0.4682,1.03586,0.92652,0.87111,0.94173,0.76249,0.9422,0.88778,0.95388,0.74865,0.75774,0.8985,0.48133,1.02325,0.000709809,0.000709809,0.000709809
60,261.364,0.63946,0.73087,0.47593,1.04196,0.94444,0.84889,0.93378,0.76417,0.97402,0.87556,0.95182,0.75089,0.76561,0.85931,0.50274,1.01458,0.000693305,0.000693305,0.000693305
61,265.596,0.65732,0.76815,0.47798,1.06271,0.95569,0.87554,0.9535,0.77693,0.95939,0.8824,0.94778,0.77407,0.71754,0.7979,0.47912,1.01102,0.000676802,0.000676802,0.000676802
62,269.929,0.65175,0.77503,0.47643,1.05717,0.95784,0.89516,0.94829,0.76311,0.96939,0.90516,0.94517,0.77131,0.75933,0.80971,0.47881,1.03357,0.000660299,0.000660299,0.000660299
63,274.173,0.64018,0.7316,0.46504,1.04531,0.94773,0.86796,0.93117,0.74779,0.96544,0.88346,0.93919,0.74689,0.73043,0.93499,0.46231,1.03013,0.000643795,0.000643795,0.000643795
64,278.383,0.64105,0.72751,0.45542,1.04468,0.93657,0.87111,0.9359,0.76878,0.94298,0.88667,0.94456,0.75807,0.76368,0.86612,0.47418,1.02994,0.000627292,0.000627292,0.000627292
65,282.528,0.63407,0.71074,0.45048,1.0396,0.95598,0.87817,0.9267,0.77353,0.97326,0.89365,0.94145,0.75915,0.68885,0.874,0.45497,0.98525,0.000610789,0.000610789,0.000610789
66,286.685,0.60223,0.70834,0.44824,1.0276,0.95762,0.8914,0.92677,0.79465,0.96927,0.9014,0.93822,0.76521,0.64519,0.82843,0.46544,0.96712,0.000594286,0.000594286,0.000594286
67,291.044,0.58168,0.66318,0.43257,1.00717,0.95439,0.85444,0.922,0.78086,0.91185,0.90279,0.9367,0.77747,0.65135,0.83738,0.46703,0.97277,0.000577782,0.000577782,0.000577782
68,295.641,0.59924,0.67987,0.43181,1.03474,0.93734,0.83288,0.92429,0.76465,0.92967,0.89945,0.94747,0.75491,0.69274,0.85654,0.52327,0.97593,0.000561279,0.000561279,0.000561279
69,300.712,0.57996,0.68837,0.44241,1.01345,0.91804,0.85,0.92007,0.76538,0.94626,0.86156,0.94649,0.73206,0.68528,1.00017,0.48828,0.95973,0.000544776,0.000544776,0.000544776
70,305.877,0.58351,0.66784,0.43342,1.01355,0.92074,0.8867,0.93892,0.78771,0.93231,0.89645,0.95067,0.76527,0.66312,0.86059,0.44234,0.97053,0.000528272,0.000528272,0.000528272
71,310.674,0.57532,0.66209,0.42553,1.00922,0.95598,0.86716,0.93037,0.77979,0.96753,0.87716,0.95065,0.79525,0.69168,0.85111,0.44194,0.9794,0.000511769,0.000511769,0.000511769
72,315.398,0.57039,0.69443,0.41987,1.00389,0.94237,0.85,0.92046,0.77351,0.95402,0.87584,0.94587,0.77232,0.68956,0.86443,0.47653,0.99158,0.000495266,0.000495266,0.000495266
73,319.734,0.56959,0.63549,0.41015,0.99784,0.95211,0.85093,0.92474,0.77235,0.94906,0.86661,0.94247,0.77237,0.67108,0.80368,0.47707,0.97953,0.000478762,0.000478762,0.000478762
74,324.018,0.54643,0.65488,0.40591,0.99792,0.91182,0.85418,0.92854,0.77989,0.92899,0.86958,0.94041,0.76055,0.64037,0.86234,0.45727,0.96518,0.000462259,0.000462259,0.000462259
75,328.248,0.54483,0.63747,0.41096,1.00139,0.95341,0.86,0.93465,0.78599,0.941,0.90649,0.95053,0.76606,0.66603,0.8593,0.46697,0.98626,0.000445756,0.000445756,0.000445756
76,332.463,0.54107,0.6542,0.40387,0.99437,0.93022,0.86667,0.92901,0.77239,0.95237,0.87667,0.94602,0.76649,0.64483,0.87424,0.4677,0.94456,0.000429253,0.000429253,0.000429253
77,336.654,0.52438,0.63781,0.39236,0.99493,0.93401,0.86178,0.93087,0.79764,0.92676,0.90388,0.94457,0.76462,0.63245,0.80083,0.46824,0.94983,0.000412749,0.000412749,0.000412749
78,340.828,0.52972,0.61599,0.38902,0.99193,0.97293,0.87556,0.93697,0.80117,0.97581,0.88644,0.94586,0.78668,0.64434,0.77265,0.48154,0.97766,0.000396246,0.000396246,0.000396246
79,345.102,0.51909,0.6021,0.39355,0.98272,0.94737,0.87,0.9344,0.78396,0.94373,0.91071,0.93971,0.75797,0.66043,0.90718,0.47038,0.98571,0.000379743,0.000379743,0.000379743
80,349.249,0.53375,0.5913,0.38979,0.99173,0.94824,0.87,0.9349,0.78556,0.9486,0.87758,0.93951,0.77053,0.68897,0.85925,0.4754,0.99471,0.000363239,0.000363239,0.000363239
81,353.426,0.51249,0.58578,0.38367,0.98937,0.97444,0.85,0.94379,0.79394,0.97444,0.85,0.94222,0.75869,0.65364,0.88034,0.4598,0.97697,0.000346736,0.000346736,0.000346736
82,357.576,0.52711,0.60424,0.38365,0.98904,0.94756,0.87556,0.94264,0.7891,0.95564,0.88451,0.9548,0.77579,0.66425,0.84007,0.46395,0.97575,0.000330233,0.000330233,0.000330233
83,361.787,0.49418,0.58288,0.37278,0.96678,0.95982,0.85,0.93345,0.79193,0.9198,0.91492,0.95087,0.76972,0.63581,0.81574,0.45997,0.97282,0.000313729,0.000313729,0.000313729
84,365.959,0.48342,0.60287,0.36882,0.96837,0.9281,0.87723,0.92991,0.78475,0.94171,0.88752,0.94277,0.7657,0.66837,0.8413,0.46658,0.98566,0.000297226,0.000297226,0.000297226
85,370.168,0.48274,0.58665,0.37445,0.96655,0.94253,0.8607,0.93108,0.78614,0.94504,0.88,0.94205,0.7709,0.65128,0.79406,0.45381,0.9744,0.000280723,0.000280723,0.000280723
86,374.352,0.4937,0.56456,0.36776,0.97263,0.96929,0.83272,0.93585,0.7905,0.93842,0.88919,0.94379,0.773,0.64981,0.78169,0.46809,0.96246,0.00026422,0.00026422,0.00026422
87,378.535,0.4886,0.56386,0.36721,0.97834,0.85488,0.90514,0.92003,0.7818,0.93243,0.85438,0.9348,0.76932,0.64012,0.7821,0.49861,0.96465,0.000247716,0.000247716,0.000247716
88,382.723,0.47037,0.55248,0.35122,0.96133,0.89969,0.88417,0.92675,0.78867,0.89853,0.91221,0.94078,0.77687,0.64418,0.7803,0.48122,0.96492,0.000231213,0.000231213,0.000231213
89,386.906,0.47785,0.55307,0.3596,0.96742,0.9459,0.85917,0.93991,0.79696,0.92111,0.91853,0.94816,0.77692,0.63662,0.79108,0.46141,0.97418,0.00021471,0.00021471,0.00021471
90,391.097,0.46437,0.56211,0.35059,0.94768,0.97,0.85453,0.94291,0.80062,0.97,0.85453,0.9502,0.77694,0.63823,0.82146,0.44553,0.98747,0.000198206,0.000198206,0.000198206
91,395.988,0.45634,0.54772,0.34798,0.95741,0.96695,0.86,0.92958,0.80448,0.96044,0.90114,0.9462,0.78535,0.64112,0.82315,0.46157,0.98438,0.000181703,0.000181703,0.000181703
92,400.278,0.46027,0.53462,0.34704,0.96375,0.97344,0.86556,0.93156,0.80036,0.95234,0.89946,0.94355,0.78633,0.62135,0.83008,0.46597,0.96217,0.0001652,0.0001652,0.0001652
93,404.47,0.44024,0.52674,0.33339,0.94406,0.97363,0.86384,0.93072,0.79641,0.94783,0.89556,0.94245,0.77976,0.61122,0.81425,0.46,0.94676,0.000148696,0.000148696,0.000148696
94,408.652,0.44455,0.53071,0.33644,0.93915,0.96264,0.87,0.93998,0.79945,0.95161,0.89556,0.94393,0.77752,0.61675,0.8345,0.45015,0.95632,0.000132193,0.000132193,0.000132193
95,412.873,0.43985,0.53129,0.33695,0.93848,0.95855,0.87556,0.94148,0.80118,0.96064,0.88578,0.94431,0.77937,0.61429,0.84704,0.45247,0.95849,0.00011569,0.00011569,0.00011569
96,417.009,0.45163,0.55125,0.33787,0.95698,0.94306,0.87,0.93921,0.8039,0.93303,0.89062,0.94294,0.78294,0.62047,0.82055,0.43618,0.96699,9.91865e-05,9.91865e-05,9.91865e-05
97,421.136,0.42878,0.53412,0.33076,0.93592,0.97405,0.86444,0.93955,0.80421,0.92996,0.91113,0.94594,0.78887,0.62977,0.80998,0.43465,0.97143,8.26832e-05,8.26832e-05,8.26832e-05
98,425.416,0.43323,0.52736,0.3266,0.93588,0.97225,0.86231,0.93907,0.8075,0.95465,0.89196,0.9469,0.79215,0.62941,0.82127,0.4439,0.96783,6.61799e-05,6.61799e-05,6.61799e-05
99,429.693,0.42103,0.50936,0.32183,0.93652,0.96953,0.86221,0.9404,0.8075,0.9655,0.88,0.95311,0.79308,0.61832,0.8193,0.43942,0.96397,4.96766e-05,4.96766e-05,4.96766e-05
100,433.94,0.42615,0.52304,0.32613,0.94158,0.96754,0.85947,0.94384,0.81118,0.9502,0.8855,0.9491,0.79091,0.60912,0.80302,0.4329,0.95961,3.31733e-05,3.31733e-05,3.31733e-05
